energia_cinetica_traslacion,energia_cinetica_rotacion,energia_cinetica_total,trabajo_traslacion_instantaneo,trabajo_rotacion_instantaneo,trabajo_total_instantaneo,potencia_traslacion,potencia_rotacion,potencia_total
506.52,2.88,509.4,-3.64,-0.1,-3.67,0.63,0.03,0.66
502.89,2.85,505.74,-3.62,-0.1,-3.65,0.63,0.03,0.66
499.27,2.83,502.1,-3.6,-0.09,-3.63,0.63,0.03,0.65
495.67,2.8,498.48,-3.57,-0.09,-3.61,0.63,0.03,0.65
492.1,2.78,494.88,-3.55,-0.09,-3.59,0.62,0.03,0.65
488.55,2.75,491.3,-3.53,-0.08,-3.56,0.62,0.03,0.64
485.02,2.73,487.74,-3.51,-0.08,-3.54,0.62,0.02,0.64
481.5,2.7,484.21,-3.49,-0.08,-3.52,0.62,0.02,0.64
478.01,2.68,480.69,-3.47,-0.07,-3.5,0.61,0.02,0.63
474.54,2.65,477.2,-3.45,-0.07,-3.48,0.61,0.02,0.63
471.09,2.63,473.73,-3.43,-0.07,-3.46,0.61,0.02,0.63
467.67,2.61,470.27,-3.41,-0.06,-3.44,0.61,0.02,0.63
464.26,2.58,466.84,-3.39,-0.06,-3.41,0.6,0.02,0.62
460.87,2.56,463.43,-3.37,-0.06,-3.39,0.6,0.02,0.62
457.5,2.54,460.04,-3.35,-0.06,-3.37,0.6,0.02,0.62
454.15,2.52,456.67,-3.33,-0.05,-3.35,0.59,0.02,0.61
450.83,2.49,453.32,-3.31,-0.05,-3.33,0.59,0.02,0.61
447.52,2.47,449.99,-3.29,-0.05,-3.31,0.59,0.01,0.61
444.23,2.45,446.68,-3.27,-0.05,-3.29,0.59,0.01,0.6
440.96,2.43,443.39,-3.25,-0.05,-3.27,0.58,0.01,0.6
437.72,2.41,440.12,-3.23,-0.04,-3.25,0.58,0.01,0.6
434.49,2.39,436.87,-3.21,-0.04,-3.23,0.58,0.01,0.6
431.28,2.37,433.64,-3.19,-0.04,-3.21,0.58,0.01,0.59
428.09,2.35,430.43,-3.17,-0.04,-3.19,0.57,0.01,0.59
424.92,2.33,427.24,-3.15,-0.04,-3.17,0.57,0.01,0.59
421.77,2.31,424.07,-3.13,-0.04,-3.15,0.57,0.01,0.58
418.64,2.29,420.92,-3.11,-0.04,-3.13,0.57,0.01,0.58
415.52,2.27,417.79,-3.09,-0.03,-3.11,0.56,0.01,0.58
412.43,2.25,414.68,-3.07,-0.03,-3.09,0.56,0.01,0.58
409.36,2.23,411.58,-3.06,-0.03,-3.07,0.56,0.01,0.57
406.3,2.21,408.51,-3.04,-0.03,-3.05,0.56,0.01,0.57
403.26,2.19,405.45,-3.02,-0.03,-3.03,0.56,0.01,0.57
400.25,2.17,402.42,-3.0,-0.03,-3.01,0.55,0.01,0.56
397.25,2.15,399.4,-2.98,-0.03,-3.0,0.55,0.01,0.56
394.27,2.13,396.4,-2.96,-0.03,-2.98,0.55,0.0,0.56
391.31,2.12,393.42,-2.94,-0.03,-2.96,0.55,0.0,0.56
388.36,2.1,390.46,-2.93,-0.03,-2.94,0.54,0.0,0.55
385.44,2.08,387.52,-2.91,-0.03,-2.92,0.54,0.0,0.55
382.53,2.06,384.59,-2.89,-0.03,-2.9,0.54,0.0,0.55
379.64,2.05,381.69,-2.87,-0.02,-2.88,0.54,0.0,0.54
376.77,2.03,378.8,-2.85,-0.02,-2.87,0.53,0.0,0.54
373.92,2.01,375.93,-2.83,-0.02,-2.85,0.53,0.0,0.54
371.08,2.0,373.08,-2.82,-0.02,-2.83,0.53,0.0,0.54
368.26,1.98,370.24,-2.8,-0.02,-2.81,0.53,0.0,0.53
365.47,1.96,367.43,-2.78,-0.02,-2.79,0.52,0.0,0.53
362.68,1.95,364.63,-2.76,-0.02,-2.78,0.52,0.0,0.53
359.92,1.93,361.85,-2.75,-0.02,-2.76,0.52,0.0,0.53
357.17,1.92,359.09,-2.73,-0.02,-2.74,0.52,0.0,0.52
354.44,1.9,356.34,-2.71,-0.02,-2.72,0.51,0.0,0.52
351.73,1.88,353.62,-2.69,-0.02,-2.71,0.51,0.0,0.52
349.04,1.87,350.91,-2.68,-0.02,-2.69,0.51,0.0,0.52
346.36,1.85,348.21,-2.66,-0.02,-2.67,0.51,0.0,0.51
343.7,1.84,345.54,-2.64,-0.02,-2.65,0.5,0.0,0.51
341.06,1.82,342.88,-2.63,-0.02,-2.64,0.5,0.0,0.51
338.43,1.81,340.24,-2.61,-0.02,-2.62,0.5,0.0,0.5
335.82,1.8,337.62,-2.59,-0.02,-2.6,0.5,0.0,0.5
333.23,1.78,335.01,-2.58,-0.02,-2.59,0.5,0.0,0.5
330.65,1.77,332.42,-2.56,-0.02,-2.57,0.49,0.0,0.5
328.1,1.75,329.85,-2.54,-0.02,-2.55,0.49,0.0,0.49
325.55,1.74,327.29,-2.53,-0.02,-2.54,0.49,0.0,0.49
323.03,1.72,324.75,-2.51,-0.02,-2.52,0.49,0.0,0.49
320.52,1.71,322.23,-2.49,-0.02,-2.5,0.48,0.0,0.49
318.02,1.7,319.72,-2.48,-0.02,-2.49,0.48,0.0,0.48
315.55,1.68,317.23,-2.46,-0.02,-2.47,0.48,0.0,0.48
313.09,1.67,314.76,-2.44,-0.02,-2.45,0.48,0.0,0.48
310.64,1.66,312.3,-2.43,-0.02,-2.44,0.48,0.0,0.48
308.21,1.65,309.86,-2.41,-0.02,-2.42,0.47,0.0,0.47
305.8,1.63,307.43,-2.4,-0.02,-2.41,0.47,0.0,0.47
303.4,1.62,305.02,-2.38,-0.02,-2.39,0.47,0.0,0.47
301.02,1.61,302.63,-2.37,-0.02,-2.37,0.47,0.0,0.47
298.66,1.59,300.25,-2.35,-0.02,-2.36,0.46,0.0,0.47
296.31,1.58,297.89,-2.33,-0.02,-2.34,0.46,0.0,0.46
293.98,1.57,295.55,-2.32,-0.02,-2.33,0.46,0.0,0.46
291.66,1.56,293.22,-2.3,-0.02,-2.31,0.46,0.0,0.46
289.35,1.55,290.9,-2.29,-0.02,-2.3,0.46,0.0,0.46
