tiempo,posicion_x_px,posicion_y_px,posicion_x,posicion_y,velocidad_x,velocidad_y,aceleracion_x,aceleracion_y,velocidad_angular,aceleracion_angular
0.0,474.0,495.0,3.844241271790785,4.014555758515693,6.02,2.33,-47.35,12.06,4.342760645538221,-0.782085475791399
0.033,498.5,504.5,4.042941506303178,4.09160278822458,4.41,2.74,-21.82,17.58,4.316707254755173,-0.7677903137154818
0.067,517.0,516.0,4.192980458894168,4.184870245240601,3.69,3.32,-44.85,-7.58,4.291129245931784,-0.7536680124649477
0.1,532.0,529.5,4.314633663697674,4.294358129563756,2.21,3.07,-26.47,-23.53,4.266020891610154,-0.7397185597677229
0.133,541.0,542.0,4.3876255865797775,4.395735800233345,1.31,2.27,-21.21,-24.24,4.241376464332377,-0.7259419433517336
0.167,546.5,551.5,4.432231761674396,4.472782829942232,0.61,1.47,-7.27,-33.33,4.217190236640552,-0.7123381509449057
0.2,549.0,557.5,4.452507295808314,4.521444111863634,0.37,0.37,-7.35,-21.47,4.193456481076775,-0.6989071702751656
0.233,550.5,559.0,4.464672616288665,4.533609432343985,0.12,-0.36,26.06,-41.21,4.1701694701831435,-0.6856489890704395
0.267,551.0,557.5,4.468727723115448,4.521444111863634,0.98,-1.72,7.58,-14.85,4.147323476501755,-0.6725635950586534
0.3,555.0,550.5,4.501168577729716,4.464672616288665,1.23,-2.21,23.53,-5.29,4.124912772574704,-0.6596509759677335
0.333,560.0,541.5,4.541719645997551,4.391680693406561,2.03,-2.39,35.15,-16.97,4.10293163094409,-0.6469111195256061
0.367,568.5,531.5,4.610656462052871,4.31057855687089,3.19,-2.95,22.42,3.64,4.081374324152009,-0.6343440134601972
0.4,581.5,519.5,4.716089239549243,4.213255993028086,3.93,-2.83,28.24,23.53,4.060235124740558,-0.6219496454994331
0.433,597.5,508.0,4.845852658006316,4.119988536012064,4.89,-2.03,30.61,9.39,4.039508305251834,-0.6097280033712398
0.467,618.0,499.5,5.012112037904441,4.051051719956744,5.9,-1.72,-11.21,29.7,4.019188138227934,-0.5976790748035437
0.5,642.0,492.5,5.20675716559005,3.994280224381775,5.53,-0.74,19.71,25.29,3.9992688962109546,-0.5858028475242708
0.533,664.5,489.5,5.389236972795309,3.969949583421074,6.2,0.12,-1.82,33.64,3.979744851742993,-0.5740993092613473
0.567,690.5,490.0,5.600102527788052,3.9740046902478574,6.14,1.23,-22.12,26.06,3.960610277366147,-0.5625684477426994
0.6,715.5,495.0,5.802857869127228,4.014555758515693,5.41,2.09,-25.88,15.59,3.9418594456225122,-0.5512102506962533
0.633,737.5,503.5,5.981282569505704,4.083492574571013,4.53,2.62,-29.39,10.0,3.9234866290541865,-0.540024705849935
0.667,756.5,514.5,6.135376628923478,4.17270492476025,3.56,2.95,-40.91,-7.58,3.9054861002032664,-0.5290118009316709
0.7,771.0,526.5,6.2529747269002005,4.270027488603055,2.21,2.7,-5.29,-2.35,3.887852131611849,-0.518171523669387
0.733,780.0,537.5,6.325966649782304,4.359239838792293,2.03,2.62,-43.03,-27.27,3.870578995822031,-0.5075038617910095
0.767,788.5,548.5,6.394903465837624,4.4484521889815305,0.61,1.72,-3.64,-26.06,3.8536609653759095,-0.49700880302446465
0.8,791.0,555.5,6.415178999971541,4.5052236845565,0.49,0.86,-10.88,-11.18,3.837092312815582,-0.4866863350976785
0.833,793.0,559.0,6.431399427278675,4.533609432343985,0.12,0.48,11.21,-44.24,3.820867310683145,-0.4765364457385773
0.867,793.5,561.0,6.435454534105459,4.549829859651118,0.49,-0.98,7.58,-26.06,3.8049802315206955,-0.4665591226750871
0.9,795.5,557.0,6.451674961412593,4.517389005036851,0.74,-1.84,20.29,-2.06,3.7894253478703304,-0.4567543536351342
0.933,798.5,549.5,6.476005602373294,4.456562402635098,1.43,-1.91,23.64,-16.67,3.774196932274146,-0.4471221263466448
0.967,804.5,541.5,6.524666884294697,4.391680693406561,2.21,-2.46,26.06,-11.21,3.759289257274241,-0.4376624285375449
1.0,813.5,531.5,6.5976588071768,4.31057855687089,3.07,-2.83,22.42,7.58,3.744696595412711,-0.4283752479357607
1.033,826.0,520.0,6.699036477846389,4.217311099854869,3.81,-2.58,17.65,16.18,3.730413219231653,-0.41926057226921853
1.066,841.5,509.5,6.824744789476678,4.132153856492415,4.41,-2.03,33.94,16.97,3.7164334012731643,-0.4103183892658444
1.1,860.0,501.0,6.974783742067668,4.063217040437095,5.53,-1.47,-3.64,22.12,3.702751414079342,-0.40154868665356447
1.133,882.5,495.0,7.157263549272927,4.014555758515693,5.41,-0.74,2.35,28.82,3.689361530192283,-0.392951452160305
1.166,904.5,492.0,7.335688249651402,3.990225117554992,5.49,0.24,4.85,26.36,3.6762580221540837,-0.38452667351399217
1.2,927.5,493.0,7.522223163683445,3.998335331208559,5.65,1.11,-18.48,26.06,3.6634351625068415,-0.3762743384425521
1.233,950.5,497.5,7.708758077715487,4.034831292649611,5.04,1.97,-18.53,8.82,3.6508872237926537,-0.36819443467391083
1.266,971.0,505.5,7.875017457613612,4.099713001878147,4.41,2.27,-33.03,13.03,3.638608478553617,-0.3602869499359948
1.3,989.5,515.0,8.025056410204602,4.176760031587034,3.32,2.7,-18.79,7.58,3.626593199331828,-0.3525518719567299
1.333,1003.0,526.0,8.134544294527757,4.265972381776272,2.7,2.95,-23.24,-13.24,3.6148356586693837,-0.3449891884640425
1.366,1014.0,538.0,8.223756644716994,4.363294945619076,1.91,2.5,-28.18,-16.06,3.6033301291083815,-0.3375988871858586
1.4,1022.0,548.5,8.288638353945531,4.4484521889815305,0.98,1.97,-14.85,-22.42,3.5920708831909183,-0.3303809558501046
1.433,1026.0,556.5,8.3210792085598,4.513333898210067,0.49,1.23,-7.35,-22.06,3.5810521934590906,-0.3233353821847064
1.466,1028.0,561.5,8.337299635866934,4.553884966477902,0.24,0.48,0.3,-25.76,3.570268332454996,-0.31646215391759036
1.5,1029.0,563.5,8.3454098495205,4.570105393785036,0.25,-0.37,0.0,-26.06,3.5597135727207307,-0.3097612587766826
1.533,1030.0,562.0,8.353520063174068,4.557940073304685,0.25,-1.23,27.65,-23.53,3.5493821867983923,-0.30323268448990914
1.566,1031.0,557.0,8.361630276827634,4.517389005036851,1.19,-2.03,8.48,-1.82,3.5392684472300777,-0.2968764187851963
